validation_loss,test_loss,validation_regret_full,test_regret_full,subepoch,time,training_relaxation,validation_relaxation,hyperparams,total_time
4939.06640625,5268.37109375,23189.1455626488,14953.7801121809,3412,18468.9542286396,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4923.65673828125,5255.4921875,26543.991811652,14953.7801121809,3462,18834.5265958309,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4914.57470703125,5260.048828125,21988.0278478339,14425.6929148547,3512,19089.1442086697,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4917.31494140625,5274.18896484375,22798.0676645185,14659.8457429886,3562,19346.9788987637,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4968.14111328125,5294.76513671875,22249.5564249994,14814.0003017425,3612,19575.632175684,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4944.95849609375,5279.7548828125,22249.5564249994,14425.6928784945,3662,19937.7301957607,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4964.47021484375,5291.3916015625,22249.5564249994,14425.6928784945,3712,20168.0632095337,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4952.62109375,5285.271484375,22249.5564249994,14425.6928784945,3762,20419.3318696022,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4919.43310546875,5265.93505859375,22249.5564249994,14425.6928784945,3812,20669.8247642517,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4877.04638671875,5242.73583984375,22249.5564249994,14953.7801121809,3862,20915.3524594307,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4916.89453125,5260.4013671875,21988.0278478339,14953.7801121809,3914,21172.2121200561,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4898.7734375,5251.14013671875,23499.0324089241,14953.7801121809,3964,21413.3794772625,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4917.6865234375,5264.47509765625,21952.0922177986,14953.7801121809,4014,21670.2830822468,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4327.58251953125,5171.98583984375,34907.2374198486,20734.3427114303,50,1807.36713075638,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4575.37451171875,5190.79248046875,31728.3359399792,19648.896537018,100,2055.32271504402,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4657.458984375,5186.30126953125,33165.753329301,20026.1015871144,150,2255.00918579102,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4746.18017578125,5210.31298828125,31728.3359399792,19341.2903056587,200,2466.63778162003,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4835.1337890625,5262.86767578125,32380.2549225235,16121.4032917032,250,2712.13392591476,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4905.10546875,5278.10498046875,32380.2549225235,16121.4032917032,300,2921.61942362785,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4957.208984375,5297.5556640625,28187.6394498344,15151.1836144542,350,3185.60266852379,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4928.90478515625,5290.99853515625,26622.2728956894,14425.6928784945,400,3448.0899605751,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4987.56396484375,5326.02392578125,23036.335987444,14425.6928784945,450,3663.82269048691,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5013.845703125,5331.64404296875,23036.335987444,14402.5595205864,500,3886.35784840584,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5051.98095703125,5362.435546875,24226.2988362315,14425.6928784945,550,4137.79163241386,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5051.119140625,5367.60498046875,21988.0278478339,14425.6928784945,602,4368.30288863182,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5036.57080078125,5357.27099609375,21988.0278478339,14474.7185236532,652,4613.12970042229,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5030.94482421875,5349.40283203125,23559.5562356091,14900.6482676985,702,4833.63525819778,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5013.5185546875,5334.1513671875,21988.0278478339,14900.6482676985,752,5104.83164644241,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4982.08056640625,5318.6044921875,23559.5562356091,14425.6928784945,802,5316.15714669228,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5014.84228515625,5333.7802734375,21988.0278478339,14425.6928784945,852,5600.31238150597,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5042.48046875,5349.9501953125,21988.0278478339,14292.525345955,902,5841.9477391243,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5049.705078125,5354.580078125,23559.5562356091,14425.6928784945,952,6080.10313653946,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5077.66943359375,5377.02685546875,22249.5564249994,14292.525345955,1002,6305.4111597538,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5108.38818359375,5380.31298828125,21988.0278478339,14425.6928784945,1052,6559.50288271904,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5101.9267578125,5376.97412109375,23559.5562356091,14292.525345955,1102,6790.07729697227,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5114.1494140625,5384.6650390625,23559.5562356091,14292.525345955,1154,7047.15494060516,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5110.47802734375,5384.05517578125,23559.5562356091,14240.3980654238,1204,7298.26713109016,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5117.724609375,5394.794921875,22249.5564249994,14292.525345955,1254,7550.12984347343,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5094.80712890625,5398.138671875,22249.5563756985,14240.3980654238,1304,7779.51694893837,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5080.6875,5380.04931640625,22249.5564249994,14240.3980654238,1354,7993.91702508926,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5080.98486328125,5371.21533203125,23564.1513758183,14240.3980654238,1404,8201.42433333397,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5083.0966796875,5373.2822265625,22838.3258103468,14292.5251206709,1454,8498.72956633568,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5067.6318359375,5360.79345703125,24285.3818010807,14240.3980654238,1504,8823.61864948273,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5040.33447265625,5345.34326171875,24362.2072125531,14240.3980654238,1554,9096.5270986557,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5036.0615234375,5331.009765625,25016.9903269769,14953.7801121809,1604,9376.06961011887,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5011.212890625,5329.70166015625,24362.2072125531,14292.525345955,1654,9647.8772482872,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5009.2236328125,5333.1728515625,22249.5564249994,14292.525345955,1706,9965.12116265297,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5028.61474609375,5339.2587890625,24362.2068044634,14425.6928784945,1756,10306.6573634148,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5015.77392578125,5335.09033203125,22838.3258103468,14425.6928784945,1806,10620.2908949852,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4971.25244140625,5316.9658203125,22249.5564249994,14814.0003017425,1856,10873.0692739487,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4949.39501953125,5297.12255859375,23088.1430319787,14953.7801121809,1906,11125.2384178638,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4983.11669921875,5322.0029296875,22249.5564249994,14425.6928784945,1956,11380.4967138767,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5022.42138671875,5348.2744140625,22249.5564249994,14814.0003017425,2006,11673.2639946938,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5041.83447265625,5360.5751953125,22249.5564249994,14425.6928784945,2056,11929.3374378681,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5063.4345703125,5367.60693359375,22249.5564249994,14240.3980654238,2106,12197.1264445782,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5027.72314453125,5350.357421875,22249.5564249994,14240.3980654238,2156,12520.1960935593,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5014.583984375,5330.73681640625,24362.2072125531,14292.525345955,2206,12803.1701784134,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5043.833984375,5346.79443359375,24362.2072125531,14292.525345955,2258,13087.6948151588,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5032.14990234375,5331.046875,25500.3630168058,14425.6928784945,2308,13367.7755608559,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5051.1103515625,5340.58154296875,25500.3630158475,14292.525345955,2358,13659.6545367241,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5029.31396484375,5345.1591796875,22249.5564249994,13915.0913959499,2408,13922.6968200207,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5022.64453125,5344.15234375,22249.5564249994,13670.3082985578,2458,14202.146499157,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4983.60302734375,5321.873046875,22249.5564249994,13915.0913959499,2508,14466.4034247398,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4994.474609375,5327.6279296875,22249.5564249994,14240.3980654238,2558,14742.1328887939,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4998.81591796875,5332.0927734375,22249.5564249994,14814.0003017425,2608,15002.1362502575,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
