train_loss,train_regret_full,train_accuracy,validation_loss,validation_regret_full,validation_accuracy,test_loss,test_regret_full,test_accuracy,subepoch,time,validation_relaxation,hyperparams,capacity,total_time
53089.375,462.7958526611328,0.7082201086956522,41711.2578125,626.5230560302734,0.7045138888888889,56991.5625,521.3534851074219,0.7359934086629002,36,65.37270092964172,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
52100.16015625,462.7958526611328,0.7073897946859904,40873.91796875,626.7120246887207,0.7034722222222223,55997.453125,521.3534851074219,0.736228813559322,37,67.01977252960205,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
51155.9765625,464.82647705078125,0.7067104468599034,40071.13671875,626.7120246887207,0.7034722222222223,55045.78515625,521.7754516601562,0.734816384180791,38,68.6693127155304,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
50254.7265625,470.3967475891113,0.7060688405797102,39301.4609375,626.7120246887207,0.7034722222222223,54134.71484375,521.7754516601562,0.7344632768361582,39,70.36792087554932,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
49394.42578125,471.59782791137695,0.7058423913043478,38563.5,650.7411346435547,0.7006944444444444,53262.46484375,521.7754516601562,0.73469868173258,40,72.15830755233765,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
48573.1796875,472.7301826477051,0.7051253019323671,37855.921875,650.7411346435547,0.7006944444444444,52427.3515625,523.2466354370117,0.7341101694915254,41,73.89304709434509,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
47789.1796875,475.5619602203369,0.704483695652174,37177.44921875,650.7411346435547,0.7006944444444444,51627.76171875,531.8997802734375,0.733286252354049,42,75.43374681472778,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
47040.71875,476.7825622558594,0.7037288647342995,36526.87109375,650.7411346435547,0.7006944444444444,50862.15625,531.8997802734375,0.7328154425612052,43,77.02768063545227,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
46326.1484375,477.85023498535156,0.7036533816425121,35903.015625,655.4696998596191,0.6961805555555556,50129.05859375,569.6159057617188,0.7308145009416196,44,78.68966865539551,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
45643.9140625,477.85023498535156,0.7031627415458938,35304.76171875,655.4696998596191,0.6961805555555556,49427.05859375,573.4092254638672,0.7291666666666666,45,80.37825846672058,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
44992.52734375,477.85023498535156,0.7028985507246377,34731.05078125,655.4696998596191,0.6940972222222223,48754.81640625,575.5690612792969,0.728695856873823,46,81.8707025051117,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
44370.5703125,477.85023498535156,0.7026721014492754,34180.84765625,655.4696998596191,0.6902777777777778,48111.0390625,577.9641647338867,0.7284604519774012,47,83.39678192138672,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
43776.6953125,477.85023498535156,0.7025211352657005,33653.17578125,655.4696998596191,0.6902777777777778,47494.5,582.4381942749023,0.7279896421845574,48,84.88468766212463,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
43209.609375,476.7825622558594,0.7025588768115942,33147.09765625,655.4696998596191,0.6902777777777778,46904.01953125,582.4381942749023,0.727283427495292,49,86.22595357894897,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
42668.09765625,476.7825622558594,0.7021437198067633,32661.71484375,655.4696998596191,0.6902777777777778,46338.48046875,582.4381942749023,0.7268126177024482,50,87.84206485748291,False,"{'lr': 0.01, 'momentum': 0.1}",150,1523.3238821029663
144032.359375,260.9151191711426,0.7809858091787439,111137.3046875,300.43831634521484,0.7951388888888888,142641.78125,235.5749969482422,0.8180320150659134,1,2.7457163333892822,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
138842.140625,257.811092376709,0.7809858091787439,107401.7109375,286.24748611450195,0.7961805555555556,137944.328125,251.88675689697266,0.815560263653484,2,4.473994731903076,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
133849.609375,257.6047821044922,0.7814009661835749,103791.546875,284.8237533569336,0.7965277777777777,133411.140625,240.76219177246094,0.8157956685499058,3,6.011035919189453,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
129089.953125,257.29022216796875,0.7814387077294686,100333.2734375,286.24748611450195,0.796875,129075.1328125,245.8192138671875,0.8159133709981168,4,7.747758626937866,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
124556.140625,257.29022216796875,0.7816274154589372,97023.28125,284.8237533569336,0.796875,124931.28125,248.61917114257812,0.8152071563088512,5,9.620219707489014,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
120237.4765625,256.03538513183594,0.7817028985507246,93855.234375,284.8237533569336,0.7975694444444444,120971.1796875,251.88675689697266,0.814030131826742,6,11.566547870635986,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
116123.421875,258.63723373413086,0.7814009661835749,90822.84375,284.8237533569336,0.7986111111111112,117186.4296875,254.72391510009766,0.8132062146892656,7,13.528252840042114,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
112203.9453125,260.0777778625488,0.7814009661835749,87920.078125,284.8237533569336,0.7965277777777777,113569.0390625,254.81680297851562,0.8133239171374764,8,15.442203283309937,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
108469.5078125,259.7698173522949,0.7810990338164251,85141.1640625,284.8237533569336,0.7944444444444444,110111.375,254.81680297851562,0.8133239171374764,9,16.990635633468628,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
104911.0859375,260.0777778625488,0.7811745169082126,82480.640625,283.558349609375,0.7951388888888888,106806.15625,254.81680297851562,0.812617702448211,10,18.62511968612671,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
101520.09375,260.0777778625488,0.78125,79933.2734375,283.558349609375,0.7940972222222222,103646.4609375,254.81680297851562,0.8117937853107344,11,20.06256604194641,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
98288.3984375,261.853816986084,0.7811745169082126,77494.078125,283.558349609375,0.7947916666666667,100625.703125,256.15679931640625,0.810969868173258,12,21.65818953514099,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
95208.2734375,263.4672660827637,0.7810990338164251,75158.3203125,283.558349609375,0.7944444444444444,97737.5859375,258.50205993652344,0.809322033898305,13,23.19879913330078,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
92272.3828125,264.0657768249512,0.7809480676328503,72921.453125,284.8237533569336,0.7947916666666667,94976.1328125,260.25079345703125,0.8086158192090396,14,24.948517322540283,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
89473.765625,265.26927185058594,0.7807593599033816,70779.1640625,284.8237533569336,0.7947916666666667,92335.6328125,258.50205993652344,0.8083804143126178,15,26.637391090393066,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
86805.8125,265.79333877563477,0.7804196859903382,68727.328125,284.8237533569336,0.7940972222222222,89810.6328125,258.50205993652344,0.8087335216572504,16,28.118196964263916,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
84262.234375,266.22280502319336,0.7802687198067633,66762.015625,284.8237533569336,0.7940972222222222,87395.9609375,260.25079345703125,0.8086158192090396,17,29.920864820480347,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
81837.0703125,266.8274726867676,0.7799667874396136,64879.46484375,284.8237533569336,0.7951388888888888,85086.65625,260.3027572631836,0.8082627118644068,18,31.49663758277893,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
79524.6484375,267.52186584472656,0.7796271135265701,63076.09375,284.8237533569336,0.7951388888888888,82878.015625,260.4650573730469,0.8073210922787194,19,32.970797061920166,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
77319.5859375,267.6211814880371,0.7796271135265701,61348.48046875,284.8237533569336,0.7951388888888888,80765.53125,263.5517349243164,0.8067325800376648,20,34.56290340423584,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
75216.7578125,267.7641258239746,0.7793251811594203,59693.35546875,284.8237533569336,0.7951388888888888,78744.921875,263.5517349243164,0.806261770244821,21,36.20471501350403,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
73211.3046875,267.7641258239746,0.7790609903381642,58107.59765625,284.8237533569336,0.7951388888888888,76812.0859375,270.64222717285156,0.806261770244821,22,37.67904734611511,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
71298.5859375,268.92971992492676,0.7791742149758454,56588.2265625,284.8237533569336,0.796875,74963.1171875,270.64222717285156,0.806261770244821,23,39.32571053504944,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
69474.21875,269.9158573150635,0.7790232487922706,55132.390625,284.8237533569336,0.7972222222222223,73194.296875,267.9750518798828,0.806379472693032,24,40.943248987197876,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
67734.015625,270.5618019104004,0.7788722826086957,53737.37109375,284.8237533569336,0.7989583333333333,71502.0625,273.87470626831055,0.8056732580037664,25,42.37017202377319,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
66073.9921875,272.36084747314453,0.7783816425120773,52400.56640625,286.24748611450195,0.7965277777777777,69883.0234375,276.34229278564453,0.8044962335216572,26,43.88697648048401,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
64490.37109375,272.9212226867676,0.7781929347826086,51119.484375,294.42737579345703,0.7954861111111111,68333.9453125,279.7667770385742,0.8035546139359698,27,45.27533149719238,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
62979.55859375,272.36084747314453,0.7781174516908212,49891.76171875,305.00433349609375,0.7951388888888888,66851.734375,282.8273468017578,0.8027306967984934,28,47.043150186538696,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
61538.12109375,271.6389503479004,0.7780797101449275,48715.1171875,305.00433349609375,0.7940972222222222,65433.4296875,282.8273468017578,0.8027306967984934,29,48.42384672164917,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
60162.8046875,272.9212226867676,0.7775513285024155,47587.37890625,305.00433349609375,0.7940972222222222,64076.2265625,282.8273468017578,0.8028483992467044,30,50.09597706794739,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
58850.515625,272.9212226867676,0.7775513285024155,46506.48046875,305.00433349609375,0.7965277777777777,62777.43359375,282.8273468017578,0.8027306967984934,31,51.75520181655884,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
57598.296875,272.9212226867676,0.7775890700483091,45470.42578125,305.00433349609375,0.7965277777777777,61534.484375,282.8273468017578,0.8027306967984934,32,53.159037590026855,False,"{'lr': 0.01, 'momentum': 0.1}",180,1408.4177594184875
