subepoch,Runtime,time,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,hyperparams,total_time,validation_relax
51,3.836670160293579,46.83880138397217,0.0,4019.873778879535,-460480233472.0,0.0,5071.760704180999,-2390322839552.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
101,7.924754858016968,91.36250686645508,0.0,3988.3771593799547,-899615260672.0,0.0,5002.337636800914,-3098973044736.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
151,12.498061418533325,136.56041812896729,0.0,3953.9079037018664,-1357869154304.0,0.0,5013.31242644971,-3271091552256.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
201,16.76755666732788,181.4386944770813,0.0,3909.404064731223,-1991691272192.0,0.0,5004.669085768907,-3497771925504.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
251,21.232336044311523,226.7110824584961,0.0,3855.4633392081637,-2307117547520.0,0.0,4963.114284811348,-3963487256576.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
301,25.599486827850342,271.77833819389343,0.0,3794.7342969421775,-3041733771264.0,0.0,4860.1873527386115,-4876162039808.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
351,29.91820526123047,316.0618681907654,0.0,3716.8729464363887,-3761845829632.0,0.0,4645.030428056614,-7135356780544.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
401,34.273980379104614,359.948157787323,0.0,3709.0084884968037,-4158136254464.0,0.0,4395.123446194927,-9728981729280.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
451,38.52946615219116,403.9460964202881,0.0,3690.17032710816,-4510243880960.0,0.0,4243.4619638815575,-11386504609792.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
501,43.1783652305603,449.44623923301697,0.0,3636.1011001758907,-5341286236160.0,0.0,4253.262440296471,-11542759211008.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
551,47.58087420463562,494.82931566238403,0.0,3571.343187587029,-6649310085120.0,0.0,4236.446202164607,-12052893532160.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
1,0.024309158325195312,2.713954210281372,0.0,3985.8839567970635,-419251552256.0,0.0,5336.033529324885,7397881344.0,{'lr': 0.01},511.1712486743927,True
51,3.574571132659912,42.82435345649719,0.0,3948.52003858987,-996501651456.0,0.0,5123.791610926432,-1965987987456.0,{'lr': 0.01},511.1712486743927,True
101,7.45824408531189,85.83044862747192,0.0,3903.5697656060556,-1530808107008.0,0.0,5050.837589911933,-2850086715392.0,{'lr': 0.01},511.1712486743927,True
151,11.450104713439941,129.81526231765747,0.0,3863.7298404566072,-1983080300544.0,0.0,5062.501385168155,-2886002278400.0,{'lr': 0.01},511.1712486743927,True
201,15.229905366897583,172.54111862182617,0.0,3819.4572544456782,-2457056313344.0,0.0,5049.2679356936815,-3083932794880.0,{'lr': 0.01},511.1712486743927,True
251,19.244094848632812,215.64863967895508,0.0,3769.6784427019597,-3206555369472.0,0.0,5008.02550432171,-3480646844416.0,{'lr': 0.01},511.1712486743927,True
301,23.588542938232422,261.23019671440125,0.0,3711.5688879258933,-3555242803200.0,0.0,4910.155321956648,-4335109931008.0,{'lr': 0.01},511.1712486743927,True
351,27.973560333251953,306.07053399086,0.0,3638.7115699854135,-4513107279872.0,0.0,4711.515000306367,-6221700005888.0,{'lr': 0.01},511.1712486743927,True
401,32.62006425857544,352.269407749176,0.0,3628.4240116641568,-4717651165184.0,0.0,4476.6964274060465,-8700545728512.0,{'lr': 0.01},511.1712486743927,True
451,36.82358980178833,395.7407171726227,0.0,3605.0625278715497,-5316932534272.0,0.0,4327.60967710802,-10508028608512.0,{'lr': 0.01},511.1712486743927,True
501,40.927396297454834,438.46254301071167,0.0,3548.56711157951,-6190182957056.0,0.0,4339.134113127199,-10759333478400.0,{'lr': 0.01},511.1712486743927,True
551,45.49665427207947,484.3163468837738,0.0,3485.651165927564,-6800689332224.0,0.0,4321.453253116771,-11198008393728.0,{'lr': 0.01},511.1712486743927,True
1,0.03250002861022949,2.757079601287842,0.0,4080.231625434167,107573207040.0,0.0,5381.4710274581785,140259573760.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
51,3.1801373958587646,42.38356590270996,0.0,4041.759016684675,-120217645056.0,0.0,5167.2982112135205,-1423221587968.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
101,6.538722038269043,87.27780294418335,0.0,4004.324447773309,-503590191104.0,0.0,5086.749493929659,-2220714360832.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
151,10.324650049209595,132.4193456172943,0.0,3967.9115113991893,-923332968448.0,0.0,5094.082341775386,-2213206818816.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
201,14.227524518966675,176.57838559150696,0.0,3921.537628089012,-1473883144192.0,0.0,5078.904715782156,-2563356753920.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
251,18.088385581970215,219.52797102928162,0.0,3867.560548382859,-2143586091008.0,0.0,5034.477186698483,-3061531803648.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
301,22.14599061012268,263.0491406917572,0.0,3803.1543198782756,-2463038832640.0,0.0,4924.708185449368,-4109898088448.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
351,26.53797173500061,308.2204737663269,0.0,3721.523120418557,-3246116831232.0,0.0,4699.809687037619,-6243071033344.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
401,31.09731149673462,353.2489559650421,0.0,3712.248526992927,-3670137241600.0,0.0,4441.247245540036,-8874930208768.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
451,35.74784517288208,398.79029154777527,0.0,3693.443324000748,-4192336740352.0,0.0,4282.108449786988,-10768215965696.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
501,39.991960763931274,442.3927800655365,0.0,3641.4168594257662,-5483717722112.0,0.0,4289.306331259018,-11006620205056.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
551,44.55299973487854,488.08813667297363,0.0,3577.689361243832,-6166106341376.0,0.0,4270.38912054544,-11394956132352.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",515.5896670818329,True
1,0.030030012130737305,2.7242093086242676,0.0,4040.137776441422,-74832023552.0,0.0,5328.270202650746,-85167611904.0,{'lr': 0.01},511.23825335502625,True
51,3.8093252182006836,45.17898178100586,0.0,4007.9102936873537,-627312852992.0,0.0,5117.353611469064,-2105067831296.0,{'lr': 0.01},511.23825335502625,True
101,7.927635431289673,88.32844114303589,0.0,3966.8136896622937,-1262588461056.0,0.0,5048.528432230417,-2925907148800.0,{'lr': 0.01},511.23825335502625,True
