instance,optimal_value,model
124,6363554.091951992,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
125,7218453.380315784,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
126,7441178.8056661645,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
127,7493082.694845847,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
128,8444439.864463834,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
129,6210604.3824031595,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
130,7786237.540053957,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
131,6914375.692284135,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
132,8579964.598617623,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
133,10177844.869765956,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
134,7692958.900348562,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
135,6540827.480167747,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
136,8708216.857927123,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
137,8369178.474598426,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
138,8508549.605079615,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
139,8361466.218104861,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
140,9015262.271289818,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
141,9037674.047003454,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
142,7715419.260166703,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
143,9151622.744991291,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
144,6868937.255360318,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
145,8584054.304751176,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
146,7691892.125857822,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
147,7831901.51519201,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
148,7742699.083413026,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
149,7509969.436722259,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
150,7201327.090425963,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
151,10935287.413129706,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
152,8853700.50277084,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
153,6998838.338730948,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
154,10417902.221443271,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
155,7326798.426396428,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
156,7885501.557724005,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
157,6811602.119843994,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
158,6688755.9483363135,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
159,6142063.537320221,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
160,6478043.400037462,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
161,8522354.893058404,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
162,7983922.655310218,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
163,7975209.566248072,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
164,8345846.4814745,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
165,6270320.884578367,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
166,5942522.867192368,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
167,5782495.865431065,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
168,6274991.626424936,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
169,6154132.779658297,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
170,8225179.666392096,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
171,6426328.498210424,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
172,6270806.406541262,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
173,8422651.926727563,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
174,7671605.513641859,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
175,9507556.049320042,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
176,6720281.631561775,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
0,8060011.789162423,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
1,8338405.330214564,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
2,7292975.346505753,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
3,7527867.471656704,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
4,7992448.412373837,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
5,6770118.000368339,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
6,7969318.270898888,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
7,9043804.02498339,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
8,8139315.984504471,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
9,7708664.206378745,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
10,7596836.129699528,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
