subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total_time,validation_relax
3863,18232.81975,3717.93719856777,-3923775455232,16899.3130500001,4808.33282492942,-5784023334912,523.925488233566,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3865,18232.81975,3717.56934773733,-3928000299008,16899.3130500001,4808.09281415572,-5785965821952,527.396284341812,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3915,18232.81975,3715.10471733748,-3986054578176,17817.04915,4790.39189778135,-5909907505152,533.934518575668,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3965,18232.81975,3711.79417419058,-4043884855296,18217.0262,4786.24271856285,-5949332389888,539.937925815582,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4015,18232.81975,3708.2545841921,-4082911150080,17817.04915,4790.82592710079,-5986784903168,546.075342178345,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4065,18232.81975,3704.02583117774,-4116320354304,17817.04915,4791.37656211112,-6004184449024,552.351593255997,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4115,18232.81975,3699.51385729689,-4152196595712,16692.372,4787.97978247189,-6080296386560,558.721701622009,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4165,18232.81975,3694.680515107,-4194130984960,16637.4171,4779.93662584546,-6180515086336,564.990792989731,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4215,18232.81975,3688.38103224593,-4270615298048,16637.4171,4763.71792512836,-6345795829760,571.346124887466,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4265,18232.81975,3687.28528132038,-4306395201536,16620.031,4743.58772052629,-6511233859584,577.359584569931,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4315,18232.81975,3684.50168667252,-4366069137408,16620.031,4730.48444223222,-6630106202112,583.705154657364,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4365,18232.81975,3678.05266668196,-4457629483008,16637.4171,4732.987321873,-6644550860800,590.722912073135,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4415,18232.81975,3671.01861763142,-4547203825664,16692.372,4731.35337028678,-6695520043008,596.652972459793,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4417,18232.81975,3670.65470158961,-4551433256960,16692.372,4731.11725776518,-6696715419648,600.679500579834,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4467,18232.81975,3668.25319816124,-4609600651264,16692.372,4713.59801394838,-6846605164544,607.224271297455,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4517,18232.81975,3665.02358697248,-4667447443456,17123.729,4709.56190181859,-6875371798528,613.63503909111,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4567,18232.81975,3661.53882216868,-4706468626432,16692.372,4714.149108089,-6902410379264,619.868334770203,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4617,18232.81975,3657.33973044589,-4739905093632,16692.372,4714.70368892704,-6923519262720,626.104672670364,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4667,18232.81975,3652.8242367365,-4775936000000,16637.4171,4711.30926940578,-7002866581504,632.337885141373,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4717,18232.81975,3647.95798035594,-4818367676416,15310.4399,4703.26219380096,-7087270658048,638.461702823639,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4767,18232.81975,3641.69294624614,-4895134711808,15310.4399,4687.165559053,-7218077368320,645.069611787796,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4817,18232.81975,3640.63876220784,-4930980806656,15310.4399,4667.26765981772,-7401693511680,650.886001110077,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4867,18232.81975,3637.95036277835,-4990575837184,15310.4399,4654.38174260146,-7559502102528,657.458589553833,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4917,18232.81975,3631.62991539037,-5082182844416,15310.4399,4656.97991367791,-7572109131776,663.887505531311,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4967,18232.81975,3624.73309762666,-5171733331968,16620.031,4655.47477998953,-7623062061056,669.997908592224,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
4969,18232.81975,3624.37364253583,-5175960403968,16620.031,4655.24286906059,-7624253243392,673.915295600891,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5019,18232.81975,3622.04139094587,-5234164760576,16637.4171,4637.93005390624,-7715574775808,680.000948190689,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5069,18232.81975,3618.90903853032,-5291829624832,16692.372,4634.02388853228,-7775487262720,686.360565423965,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5119,18232.81975,3615.4774520548,-5330871255040,16692.372,4638.61836953897,-7758402813952,692.605407714844,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5169,18232.81975,3611.30784670883,-5364242710528,16637.4171,4639.18883851878,-7828964114432,698.91850566864,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5219,18232.81975,3606.79886620123,-5400331288576,15310.4399,4635.80478009315,-7878485737472,705.104733228684,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5269,18232.81975,3601.94033409302,-5442854453248,15310.4399,4627.79891671502,-7952579690496,711.386635780335,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5319,18232.81975,3595.72286905637,-5519781134336,15310.4399,4611.84396969428,-8079589507072,717.504618644714,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5369,18232.81975,3594.71393248885,-5555669434368,15310.4399,4592.1822639238,-8241030365184,723.620129823685,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5419,18232.81975,3592.11709319407,-5615254241280,15310.4399,4579.50164105607,-8419756474368,729.992078065872,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5469,18232.81975,3585.92899625826,-5706856005632,15310.4399,4582.19341171169,-8384717783040,736.476217031479,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5519,18232.81975,3579.17019924262,-5796358782976,15310.4399,4580.81660563748,-8385929412608,742.977886915207,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5521,18232.81975,3578.81556899747,-5800582971392,15310.4399,4580.58905962477,-8391257751552,746.619436979294,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5571,18232.81975,3576.54947501551,-5858885894144,16328.4397,4563.46295367178,-8614333382656,753.004487752914,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5621,18232.81975,3573.5001267105,-5916531884032,16637.4171,4559.66586777189,-8650841653248,760.214999914169,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5671,18232.81975,3570.11918983577,-5955619389440,16637.4171,4564.26586351285,-8622340833280,766.836387395859,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5721,18232.81975,3565.97985883272,-5988999233536,16328.4397,4564.84349175218,-8633285869568,772.85633969307,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5771,18232.81975,3561.47444755254,-6025167765504,15310.4399,4561.46446376082,-8720975659008,778.666879177094,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5821,18232.81975,3556.62139639791,-6067832225792,15310.4399,4553.50096826338,-8786126307328,784.949636220932,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5871,18232.81975,3550.46320183975,-6144812384256,15310.4399,4537.71019891925,-8927511052288,791.274968147278,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5921,18232.81975,3549.5001111144,-6180740792320,15310.4399,4518.28913111468,-9112306843648,797.346539735794,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
5971,18232.81975,3546.99348930622,-6240332939264,15310.4399,4505.81160549868,-9269061615616,803.750152587891,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6021,18232.81975,3540.93249191497,-6331993948160,15310.4399,4508.59531966995,-9302217588736,810.261092662811,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6071,18232.81975,3534.30928169451,-6421504589824,15310.4399,4507.34454817821,-9318695960576,816.402037143707,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6073,18232.81975,3533.95892803594,-6425727991808,15310.4399,4507.12116374707,-9320401993728,819.686344623566,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6123,18232.81975,3531.7603350212,-6484080721920,16328.4397,4490.19676754155,-9570828156928,826.426888465881,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6173,18232.81975,3528.80447078807,-6541567590400,16328.4397,4486.53067227068,-9580184600576,833.326479196549,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6223,18232.81975,3525.4773615422,-6580658765824,16328.4397,4491.13564318104,-9578657873920,839.461832523346,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6273,18232.81975,3521.36778223807,-6614096281600,15310.4399,4491.71220176538,-9553415503872,845.413157939911,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6323,18232.81975,3516.86747944428,-6650354204672,15310.4399,4488.34162671752,-9586923798528,851.578980445862,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6373,18232.81975,3512.01543843109,-6693161795584,15310.4399,4480.41035754603,-9671260766208,857.567501783371,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6423,18232.81975,3505.89914557613,-6770361892864,15310.4399,4464.75139433699,-9782067986432,863.836740255356,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6473,18232.81975,3504.98258589128,-6806304980992,15310.4399,4445.55830618871,-9961449979904,869.704107284546,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6523,18232.81975,3502.57546762918,-6865801445376,15310.4399,4433.30864552481,-10117900664832,875.856081962585,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6573,18232.81975,3496.6449148261,-6957493387264,15310.4399,4436.1829453862,-10151051395072,882.165821552277,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
6623,18232.81975,3490.16172238694,-7046938230784,15310.4399,4435.06253617431,-10208106512384,888.716774225235,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
1,17411.0018999999,4082.04721790702,95671496704,27374.34085,5379.62765876148,104762875904,2.30789494514465,{'lr': 0.0001},18577.709253788,TRUE
51,16671.918225,4081.79699623727,95293513728,27374.34085,5377.75002507158,100053393408,6.3539342880249,{'lr': 0.0001},18577.709253788,TRUE
101,16671.918225,4081.30072791193,94348505088,24706.1822,5377.24834859565,100239237120,10.7868871688843,{'lr': 0.0001},18577.709253788,TRUE
151,16671.918225,4080.83343055541,93127348224,24706.1822,5377.63738899481,98539577344,15.2988476753235,{'lr': 0.0001},18577.709253788,TRUE
201,15746.496825,4080.35738580918,92129136640,24706.1822,5377.7359299747,97302749184,19.9805309772491,{'lr': 0.0001},18577.709253788,TRUE
251,16463.93225,4079.90421474591,91213705216,26872.61635,5377.43287710041,95883968512,24.3788652420044,{'lr': 0.0001},18577.709253788,TRUE
301,16463.93225,4079.48978580135,90466439168,26872.61635,5376.69657914629,93667155968,28.7244687080383,{'lr': 0.0001},18577.709253788,TRUE
351,15613.736,4079.04050740174,89697648640,26872.61635,5375.3416860086,91623751680,32.8345372676849,{'lr': 0.0001},18577.709253788,TRUE
401,15613.736,4078.97593219154,89549303808,26872.61635,5373.13865230961,89427755008,37.6805880069733,{'lr': 0.0001},18577.709253788,TRUE
451,16068.76025,4078.66273135406,88810344448,24706.1822,5371.79262937976,86845784064,42.2916967868805,{'lr': 0.0001},18577.709253788,TRUE
501,16068.76025,4077.95172936081,87157477376,24193.5563499999,5372.01709001083,85899001856,46.8067953586578,{'lr': 0.0001},18577.709253788,TRUE
