subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total time,validation_relax
2007,40141.3631527372,3893.19103944562,-1604661936128,21012.7149,4978.28846676671,-3454239506432,224.166179180145,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2057,36696.3232896674,3891.84119363275,-1626269876224,20760.4601,4956.70979186061,-3620800561152,229.67088675499,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2107,39235.1227555121,3888.86419986254,-1695259426816,20760.4601,4942.48592480995,-3779325067264,234.874407291412,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2157,40141.3631527373,3882.11266964874,-1782149611520,21012.7147259318,4944.54038098616,-3848958902272,239.850445747375,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2207,40141.3631527373,3874.49541779548,-1850117062656,21571.6828,4942.52960304618,-3929228443648,245.113404273987,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2209,40141.3631527372,3874.08899983143,-1852777955328,21571.6828,4942.26651798538,-3932641820672,248.245027303696,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2259,40141.3631527373,3871.37637356049,-1898092232704,21571.6828,4923.41517868147,-4099396337664,254.030034542084,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2309,40141.3631527373,3868.10137186065,-1930677846016,21571.6828,4918.30238442286,-4205969408000,258.966129779816,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2359,40141.3631527374,3864.4540891733,-1978580795392,24814.6426499999,4922.39476304004,-4185547079680,264.197722196579,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2409,40141.3631527373,3859.80365353606,-2019125624832,21571.6828,4922.85202506579,-4212325613568,269.698250055313,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2459,41535.821536173,3854.83438361192,-2034480316416,21571.6828,4919.11780691973,-4224367984640,274.695495843887,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2509,40141.3631527373,3849.43056905848,-2051804299264,20760.4601,4910.13411896116,-4279421632512,279.936239242554,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2559,39141.452598103,3842.20992918536,-2100768473088,21012.7149,4891.65589822089,-4389466275840,285.194741487503,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2609,39222.2410896674,3840.92843019768,-2140940075008,20738.1512499999,4870.54103346185,-4552253243392,290.660267353058,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2659,39222.2410896674,3838.05139554753,-2201381502976,20738.1512499999,4856.71030640544,-4722273550336,296.269045591354,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2709,40047.6929953283,3831.43526418279,-2276858396672,21012.7149,4858.92659475507,-4763785625600,301.955862045288,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2759,40047.6929953282,3823.9686832434,-2344725250048,21571.6828,4857.089425254,-4855171121152,307.486360549927,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2761,40047.6929953283,3823.56469588422,-2347403182080,21571.6828,4856.83010471819,-4856848318464,310.822278499603,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2811,40141.3631527373,3820.93895543906,-2389944172544,21571.6828,4838.29767539142,-4996683792384,315.991542577744,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2861,40141.3631527373,3817.77571880804,-2422602465280,21571.6828,4833.41691265402,-5086435082240,321.464762449265,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2911,40141.3631527373,3814.197221381,-2470658834432,21571.6828,4837.56184560903,-5103969370112,327.078001022339,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
2961,40141.3631527372,3809.57018653392,-2509610549248,21571.6828,4838.04309026963,-5152861323264,332.492579936981,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3011,40047.6929953282,3804.62042612258,-2528898842624,21571.6828,4834.33886586076,-5156327915520,337.856156349182,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3061,39141.452598103,3799.25102508172,-2547104743424,20738.1512499999,4825.44601620615,-5174852583424,343.291764974594,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3111,39141.452598103,3792.13306658098,-2604695289856,20738.1512499999,4807.24369488403,-5300248641536,347.473474979401,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3161,39141.452598103,3790.91411045829,-2645711781888,20446.6991,4786.51043949237,-5465938853888,351.884526491165,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3211,39141.452598103,3788.12424414326,-2697845538816,20734.33955,4773.01104647967,-5647501361152,355.830847978592,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3261,39141.452598103,3781.6329500992,-2773440659456,20738.1512499999,4775.36325434768,-5727598411776,360.205560922623,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3311,39141.452598103,3774.28581278845,-2844485615616,21012.7013984188,4773.68689665191,-5844205830144,364.352984189987,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3313,39141.452598103,3773.88536712362,-2845753475072,21012.7149,4773.43290106314,-5846009905152,367.070965528488,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
